Feature,Importance
orbit,0.04227435536599918
atheist,0.03301959362293186
format,0.03129462333685718
3d,0.02723623050471705
shuttle,0.02401784575466753
jesus,0.022366696210756227
hi,0.020889165097703638
graphics,0.018988173763365524
color,0.017832012175353212
launch,0.016343710896114378
moon,0.014483421053584297
ftp,0.012391414102556288
moral,0.011738463594141822
islamic,0.011218474827401233
code,0.01109666912376258
fbi,0.0106931268375309
christian,0.009699574638173381
sky,0.009283346783358386
video,0.008962157064781396
bible,0.008432721283760545
spacecraft,0.008211218635933229
kent,0.008195155248218785
bobbevice,0.007221348389993614
24,0.007084429158511159
deletion,0.006929625911891928
child,0.006826519141032246
atheism,0.006662474547656072
dos,0.006366163180899575
rocket,0.005974305439352109
air,0.005934465513600732
alt,0.00589280700148944
sci,0.005866737145862395
remember,0.00575204197621379
evidence,0.005646147176162585
display,0.0055606535574404155
fund,0.005515276704334961
objective,0.005466854104528355
safety,0.005346301761337054
flight,0.005277400422130495
pc,0.005040889140405709
advance,0.004784247782532005
animation,0.004781731468816988
religious,0.004779060300509261
action,0.0043370753088727764
package,0.004244194711229523
polygon,0.004066414746630894
instance,0.004014076655527524
cost,0.003973550452664434
delete,0.003904079373790214
solar,0.003861316529836135
punishment,0.0038163318986137074
bobby,0.0037423719780980526
project,0.00363486086618828
tiff,0.0035917911926922224
ago,0.003557352873560954
product,0.0034994217948703015
motto,0.003478503167377269
matter,0.003419650378789162
satellite,0.003417381764495926
shall,0.0033248128225568025
translation,0.003202002082793657
play,0.0031281031216503392
sense,0.0031192852875483023
galaxy,0.003118897988261096
screen,0.003097611809142909
gif,0.003060157903581796
algorithm,0.0030533393879458534
pov,0.003047419025198476
christ,0.0029366340871578465
gospel,0.0028983089359478284
tom,0.002884101945744332
original,0.0028053801082074787
directory,0.0027485379571506917
abortion,0.0027246384777797872
oh,0.002721418612228657
art,0.002707463915449821
relative,0.002690630110595428
hello,0.002671453578952528
maddi,0.002645360406143144
country,0.0026207182858248475
kill,0.0025546880396082514
worth,0.002523064562150135
area,0.002490503865964606
liar,0.0024859247413043673
mac,0.002484008286548193
imply,0.002471126438215758
truth,0.002456607378672993
lie,0.0023667719668044305
plane,0.0023635624035058048
poster,0.00235797317360957
3do,0.002329756445522461
68070,0.002296710254805913
feel,0.0022961569569080057
client,0.0022643622230481084
site,0.002251550693803195
address,0.0022305479855448582
care,0.00221641538465303
rosicrucian,0.0022090385316090744
mission,0.00218775987407882
1993,0.0021478615177126254
40,0.0021447619927162653
mention,0.0021358733007169083
spend,0.002125869793070617
proposal,0.0021090447432961673
stuff,0.0021078713141507058
phone,0.0020630263115680504
object,0.0020574824042727527
com,0.0020559101683993507
pentagon,0.002051146187591224
publish,0.0020485171527172483
useless,0.0020317010653110234
sorry,0.002022255917221732
present,0.002007862291053528
force,0.0020065975267836403
confused,0.001993633830592469
department,0.001982713308822149
keith,0.0019622873867151903
define,0.0019617890424199285
theory,0.001960283949998011
normal,0.001918292150341232
vesa,0.0019113265596309925
paper,0.00189601572789154
workstation,0.00188592687113088
subset,0.0018823227615400186
wealth,0.0018795628342804793
study,0.0018707432165239483
comp,0.0018610301467594911
currently,0.0018579574175807607
merely,0.0018268218055972779
week,0.001818892878988812
tbut,0.0018159756454174767
origin,0.001812180458403347
clear,0.0018029477971140142
deal,0.0017946272446074426
fairly,0.0017935728944937215
arrive,0.0017893685510935952
cut,0.001788754554850788
station,0.0017622338553779525
event,0.0017617425113352681
john,0.001733676859319695
reply,0.0017202944664763944
myth,0.001703133922125231
khomeini,0.0017025795165516208
correct,0.0016893065852761784
past,0.001682066171690888
miner,0.001666294537715167
jim,0.0016562379003405275
appear,0.0016451678549468944
figure,0.0016403457462811457
statement,0.0016403048851646425
accord,0.0016248289142114251
suppose,0.0016229864434369817
refer,0.0015898619874916014
goal,0.001571039794142637
couple,0.0015520791264764062
food,0.001526186143215191
fine,0.0015229516642013428
check,0.0015169805721314128
sunset,0.001506482000508046
stereo,0.0015027801189801317
modem,0.0014987958678523922
possibility,0.0014955090348088564
raise,0.001492128984719276
hacker,0.0014830066963619727
atom,0.0014643255515638803
obtain,0.0014636209879127797
buy,0.001444612923134734
observe,0.0014369495708945568
genesis,0.001434858315594977
copyright,0.0014259727563845734
joseph,0.0014199118748075292
serve,0.0014191728751720917
copy,0.0014151735704422107
00,0.0014076910543796546
lockheed,0.001406568313794967
christians,0.0014017240283462251
behavior,0.0014017078764125609
postscript,0.0013897586842601544
cheer,0.0013877871717575853
hard,0.0013845950178165876
judge,0.0013804698782850977
happen,0.0013683136451118955
receive,0.0013594952971886746
particle,0.0013553704259526415
luck,0.0013528604807193961
soon,0.0013506570956993461
teach,0.0013504786111472697
material,0.001344096287296291
nice,0.0013357689488930082
act,0.001330531882688089
christianity,0.001327041989230413
effect,0.0013252510831536937
box,0.0013144636964750388
quote,0.0013062656505605182
seriously,0.0012937354013942129
important,0.0012929263798616363
watch,0.0012857483890333758
shape,0.0012696097995034072
rule,0.0012657107518017053
mr,0.0012621438887178039
assumption,0.0012472951370858308
hebrew,0.001246137905124356
night,0.001243637380085578
rise,0.001227015584329576
jewish,0.001224879049898154
cheat,0.0012083300678170038
contradiction,0.0011900681524343046
satan,0.0011722171301478872
proof,0.0011636270687899312
leave,0.001161218554896177
wife,0.0011384603070552718
apple,0.0011276171795052785
kevin,0.0011214047219308444
bio,0.0011139647455260754
main,0.0011136160329801128
speak,0.0011047295587794425
lord,0.0011022439028160703
century,0.0011015073937900818
ttt,0.0010999965355507984
comment,0.0010996001580243764
freely,0.0010948554207088693
unix,0.0010934600992427025
wo,0.0010932205904803202
recognize,0.0010929905840442846
philosophy,0.0010915343223649625
fool,0.001089247465605774
weekend,0.001088423587432173
internal,0.0010873855041261087
486,0.001086289413612507
byte,0.001083137904500617
tand,0.001082735161173286
dangerous,0.001082721473164784
flag,0.0010813680713233282
relate,0.0010767665050623754
advanced,0.00107605857179146
sparc,0.0010728369131343012
saudi,0.0010728223054101333
medium,0.0010724759890815034
text,0.0010687508735110428
convince,0.0010675633725404754
brown,0.0010664415793220857
value,0.001063739807468486
warning,0.0010634730914196307
land,0.0010623163377089825
theistic,0.001059808344913732
reduce,0.001059768882751518
xv,0.00105963276651113
testament,0.0010583602400185757
remain,0.0010583602400185757
guy,0.0010568763383312296
roger,0.0010563595590355535
miracle,0.0010517865739315035
processing,0.001049157107496674
map,0.0010466708978076138
path,0.001046250855121338
classify,0.001046250855121338
foot,0.0010452399847299357
guide,0.0010422647760288915
street,0.0010416145861531602
leg,0.0010410829186147344
escape,0.0010353524087138234
quit,0.0010315467890493588
uucp,0.0010307508424528733
scene,0.0010286520777954922
lose,0.0010285039531188476
commandment,0.0010272186056828477
peter,0.001026464718391015
egg,0.001025491909583216
ultra,0.0010194239101182258
false,0.0010194239101182258
intersection,0.0010194239101182258
cd,0.001017012288838154
esp,0.0010143452583920934
anybody,0.0010134570439776266
wicked,0.0010132210662206818
voyager,0.001012344577409072
freedom,0.0010120663669207265
allen,0.0010097151109742433
consideration,0.0010081613353536615
hardware,0.0010057121522955416
situation,0.0010052914547432562
clue,0.0010039780932982532
pattern,0.001001953943916604
entire,0.000997761541946569
ultimate,0.0009939383123652708
love,0.0009939383123652708
stand,0.0009925464435614282
flame,0.0009837578711824003
acronym,0.0009816674690027363
recently,0.0009816674690027363
stupid,0.0009816674690027363
treat,0.0009816674690027363
worry,0.0009816674690027363
nope,0.000978794462242954
equal,0.0009758649907284731
unicorn,0.0009700469600857889
window,0.0009690571161400534
contact,0.0009663289147995686
power,0.0009663289147995686
smiley,0.0009663289147995686
automatically,0.0009663289147995686
connection,0.0009663289147995686
dennis,0.0009663289147995686
davidians,0.0009663289147995686
praise,0.0009596005742163229
catholic,0.0009593757432036284
transcendental,0.0009584523599384823
timmons,0.0009566207045828711
judah,0.0009561696126650028
observer,0.000946607916538353
organization,0.000946607916538353
preserve,0.000946607916538353
trim,0.000946607916538353
pope,0.000946607916538353
story,0.0009437394077003627
law,0.0009434712790903312
elf,0.0009416257696092037
innocent,0.0009305911251095521
nt,0.0009292183224431866
fast,0.0009203132521900653
smoke,0.0009203132521900653
mile,0.0009203132521900653
intend,0.0009190716722504645
hong,0.0009157116859291147
save,0.0009136200649014098
au,0.0009135462429827851
influence,0.0009080279563403195
complain,0.0009059809962564545
ct,0.0009019069871462639
son,0.0008996032352633729
newspaper,0.0008957715654649966
president,0.0008957715654649966
ac,0.0008887596549721203
satanic,0.0008853238188306106
mathew,0.0008835007221024626
fundie,0.0008835007221024626
waste,0.0008835007221024626
corruption,0.0008835007221024626
current,0.0008835007221024626
vol,0.0008742975895805619
print,0.0008737919229584804
steve,0.0008713817114474416
likely,0.0008519471248845178
import,0.0008366484110818776
digital,0.0008282819269710589
fan,0.0008282819269710589
belong,0.0008282819269710589
frank,0.0008282819269710589
adam,0.0008282819269710589
outside,0.0008282819269710589
general,0.00079314269370562
rape,0.0007853339752021887
challenge,0.0007515891559552199
suggestion,0.0007515891559552199
1000,0.0007515891559552199
pose,0.0007362506017520523
btw,0.0007362506017520523
pray,0.0007362506017520523
touch,0.0007362506017520523
content,0.0007362506017520523
examine,0.0006573666087071895
position,0.0006358092315277348
sight,0.0006012713247641763
lab,0.0005521879513140391
creation,0.0005521879513140391
abandon,0.0005521879513140391
quran,0.0005521879513140391
activity,0.0005521879513140391
admittedly,0.0005521879513140391
hit,0.0005521879513140391
mainstream,0.0004930249565303921
rain,0.0
periodically,0.0
quicktime,0.0
photograph,0.0
phil,0.0
peripheral,0.0
permanent,0.0
quantity,0.0
photo,0.0
quantization,0.0
permission,0.0
permit,0.0
perot,0.0
periodic,0.0
perpendicular,0.0
ralcgm,0.0
ralph,0.0
ram,0.0
rama,0.0
quantizer,0.0
quantize,0.0
philips,0.0
quickdraw,0.0
percent,0.0
percentage,0.0
rare,0.0
perception,0.0
philip,0.0
phrase,0.0
perfect,0.0
qualify,0.0
perfectly,0.0
perform,0.0
quality,0.0
random,0.0
perihelion,0.0
period,0.0
quantitative,0.0
rapture,0.0
rapidly,0.0
rapid,0.0
philadelphia,0.0
photon,0.0
range,0.0
quickly,0.0
photographic,0.0
perpetual,0.0
