Feature,Importance
orbit,0.04160379669922056
format,0.035807992582085696
atheist,0.030387773864397106
shuttle,0.026192531488980538
graphics,0.024440144046793663
jesus,0.02329500685118502
hi,0.02179607602264084
3d,0.018014477863929665
moon,0.016927855265560936
color,0.016205446173141
launch,0.015806459827047977
ftp,0.013355982059610496
child,0.011249619915591846
islam,0.010932765964052276
spacecraft,0.010655720314052255
moral,0.009738067605729227
pc,0.00931017467448609
kent,0.008441295526247932
bible,0.008271424996117304
window,0.008097520606815366
code,0.0079948734385678
sky,0.007945507225064173
safety,0.007139446059170062
remember,0.006689392424887749
statement,0.006605164571955895
religious,0.006585282094812232
flight,0.006562538416935222
directory,0.0063310229540296135
display,0.006297347276753871
kill,0.0062470945061273995
mission,0.006229709711811003
bobbevice,0.006092682918981193
lord,0.005686409975060762
objective,0.005515563204906327
koresh,0.005498437571073868
sorry,0.005467474643107728
product,0.005406661752511485
animation,0.005277828908625123
fund,0.005096594898771649
bobby,0.004967541207458315
rocket,0.0047135901213498374
advance,0.004670401131961558
admit,0.004606246951380515
deletion,0.004490059397985495
church,0.004483058705628629
sci,0.004315889748868477
delete,0.0042809078013029325
tom,0.004268399274135372
project,0.004217239304926588
islamic,0.00421133918387135
cloud,0.0041876365580802676
story,0.004175824149157947
fast,0.00415312202340153
screen,0.004058578918568011
instance,0.004050373317982028
24,0.003994269286202478
air,0.0038569725990946434
spend,0.0038165881759514397
lie,0.003783858081327808
punishment,0.003722569267472167
art,0.003691952128045315
algorithm,0.003656251433188902
lead,0.0036358672917922987
alt,0.003629796406733982
evidence,0.0036195775290432945
cost,0.0035419075556265963
theory,0.0035395628308640945
death,0.0034550066966064896
satan,0.003401374339532414
play,0.0032638220329295068
card,0.003238219917883091
translation,0.003229163949074875
satellite,0.00317660823570597
text,0.0031334418072987967
jpl,0.003128090826142914
individual,0.003094470998858333
early,0.0030933038720563186
root,0.003058313485460069
motto,0.003025371680441212
logic,0.002988388562182875
cheer,0.0029775846488609634
ignore,0.002929225905117168
copyright,0.0029181226810806736
gospel,0.002793908996092214
galaxy,0.002792609094766754
object,0.0027800432480512174
abortion,0.00273698945759975
datum,0.0027155313763159122
truth,0.002694792172250543
astro,0.0025612279954986125
hello,0.0024636333243188376
news,0.002436226656077325
cut,0.0024195126338514435
level,0.002411950507151936
obtain,0.0024087129898840926
nuclear,0.002396141367564016
ago,0.0023740896340138182
